date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-13,5.77,5.99,5.95,5.74,51647.1,0.13,2.23,5.77,5.739,5.629,32609.08,32162.06,28487.3
2018-11-12,5.69,5.83,5.82,5.67,31323.58,0.13,2.29,5.724,5.698,5.598,27207.9,29387.92,27221.75
2018-11-09,5.63,5.75,5.69,5.61,21860.14,0.03,0.53,5.708,5.671,5.577,28105.92,28120.37,27156.97
2018-11-08,5.78,5.79,5.66,5.66,25416.14,-0.07,-1.22,5.724,5.657,5.563,31104.54,27747.15,28662.94
2018-11-07,5.73,5.84,5.73,5.7,32798.42,0.01,0.17,5.728,5.644,5.558,32573.02,27223.83,31335.03
2018-11-06,5.75,5.75,5.72,5.64,24641.24,-0.02,-0.35,5.708,5.627,5.58,31715.04,25923.78,31719.03
2018-11-05,5.78,5.83,5.74,5.66,35813.66,-0.03,-0.52,5.672,5.614,5.608,31567.94,26660.03,32455.49
2018-11-02,5.74,5.78,5.77,5.7,36853.24,0.09,1.58,5.634,5.609,5.634,28134.81,27941.1,33141.56
2018-11-01,5.68,5.72,5.68,5.64,32758.53,0.05,0.89,5.59,5.578,5.674,24389.76,26803.25,33979.17
2018-10-31,5.55,5.75,5.63,5.51,28508.53,0.09,1.62,5.56,5.544,5.717,21874.63,25564.8,37083.47
2018-10-30,5.55,5.56,5.54,5.35,23905.75,-0.01,-0.18,5.546,5.519,5.771,20132.53,24812.54,38402.22
2018-10-29,5.55,5.62,5.55,5.52,18648.0,0.0,0.0,5.556,5.498,5.829,21752.13,25055.57,41331.3
2018-10-26,5.57,5.65,5.55,5.52,18128.0,0.02,0.36,5.584,5.483,5.892,27747.38,26193.57,44601.36
2018-10-25,5.42,5.58,5.53,5.37,20182.88,-0.03,-0.54,5.566,5.469,5.953,29216.73,29578.73,48602.68
2018-10-24,5.54,5.65,5.56,5.53,19798.01,-0.03,-0.54,5.528,5.472,6.018,29254.96,35446.24,56743.04
2018-10-23,5.7,5.77,5.59,5.55,32003.74,-0.1,-1.76,5.492,5.532,6.069,29492.56,37514.28,62291.88
2018-10-22,5.52,5.79,5.69,5.51,48624.28,0.23,4.21,5.44,5.602,6.102,28359.01,38250.94,62657.5
2018-10-19,5.23,5.5,5.46,5.23,25474.76,0.12,2.25,5.382,5.658,6.135,24639.76,38342.02,62638.55
2018-10-18,5.34,5.44,5.34,5.3,20374.0,-0.04,-0.74,5.372,5.769,6.184,29940.72,41155.09,64651.45
2018-10-17,5.4,5.47,5.38,5.27,20986.0,0.05,0.94,5.416,5.89,6.231,41637.52,48602.15,65430.68
2018-10-16,5.44,5.56,5.33,5.26,26336.0,-0.07,-1.3,5.572,6.022,6.272,45536.01,51991.9,65778.26
2018-10-15,5.43,5.59,5.4,5.37,30028.04,-0.01,-0.18,5.764,6.16,6.311,48142.87,57607.03,66159.31
2018-10-12,5.54,5.54,5.41,5.12,51979.55,-0.15,-2.7,5.934,6.3,6.352,52044.27,63009.16,67457.9
2018-10-11,5.8,5.95,5.56,5.54,78858.02,-0.6,-9.74,6.166,6.436,6.401,52369.45,67626.63,67771.82
2018-10-10,6.26,6.33,6.16,6.12,40478.44,-0.13,-2.07,6.364,6.564,6.444,55566.77,78039.85,68428.32
2018-10-09,6.28,6.36,6.29,6.2,39370.3,0.04,0.64,6.472,6.606,6.453,58447.78,87069.48,69237.88
2018-10-08,6.46,6.47,6.25,6.2,49535.04,-0.32,-4.87,6.556,6.601,6.444,67071.2,87064.07,68913.48
2018-09-28,6.59,6.66,6.57,6.49,53605.46,0.02,0.3,6.666,6.611,6.44,73974.04,86935.08,67729.63
2018-09-27,6.65,6.83,6.55,6.46,94844.6,-0.15,-2.24,6.706,6.599,6.42,82883.81,88147.82,66665.48
2018-09-26,6.7,6.72,6.7,6.62,54883.52,-0.01,-0.15,6.764,6.571,6.41,100512.93,82259.22,63496.18
2018-09-25,6.77,6.85,6.71,6.62,82487.36,-0.09,-1.32,6.74,6.521,6.395,115691.18,79564.63,63643.1
2018-09-21,6.75,6.86,6.8,6.66,84049.28,0.03,0.44,6.646,6.462,6.378,107056.93,74711.59,62743.61
